## start, length, value
75, 0, 16
80, 95, 0
100, 105, 0
110, 0, 19
168, 0, 10
192, 0, -52
690, 700, 0
697, 0, 13
1267, 0, 10
1364, 0, 13
1396, 0, 14
1397, 0, 0
1515, 0, 3
1917, 0, 9
1936, 0, -14
2532, 0, 1
2719, 0,47
2735, 0, -4
2799, 0, 2
2863, 0, -1
2964, 0, 25
2976, 0, -11
3088, 0, -11
3120, 0, 9
3136, 0, -6
3264, 0, -5
3280, 0, -6
3296, 0, -6
3328, 0, -3
3333, 0, 16
3344, 0, -2
3360, 0, -5
3408, 0, -5
3733, 0, 5
4035, 0, 4
4294, 0, 16
4304, 0, -7
4320, 0, -2
4335, 0, -2
4352, 0, -5
4636, 0, 32
4640, 0, -2
4652, 0, -3
4673, 0, -2
4691, 0, -2
4704, 0, -2
4720, 0, -79
4939, 0, 2
5135, 0, 2
5874, 0, 12
5956, 0, 2
6587, 0, 17
6605, 0, 2
6899, 0, 14
7519, 0, 18
7536, 0, -16
8478, 0, 4
8496, 0, -5
