## start, length, value
90, 0, -1
226, 0, 1
365, 0, 7
452, 0, 25
586, 0, 8
611, 0, 8
788, 0, 8
1121, 0, 15
1208, 0, 2
1209, 0, 8
1381, 0, 8
1467, 0, 0
1470, 0, -12
1658, 0, 2
1950, 1960, 0
2000, 2470, 0
2490, 3400, 0
2145, 0, 8
3072, 0, 15
3199, 0, 41
3258, 0, 8
3353, 0, 27
3400, 3800, 0
3538, 0, 11
3887, 0, 4
4000, 5000, 0
4085, 0, 18
4646, 0, 22
4952, 0, 25
5011, 0, 8
5170, 0, 15
5842, 0, 10
5944, 0, 20
6273, 0, 59
6570, 0, 15
7200, 7800, 0
7460, 0, 8
7839, 0, -411
8792, 0, 9
8846, 0, 3
9181, 0, 1
9573, 0, 12
9871, 0, -43
11710, 11727, 0
11727, 0, 8
12580, 14490, 0
13690, 0, 2
14598, 0, 1
15633, 0, -1
16312, 0, 2
16320, 21310, 0
20227, 0, 6
20373, 0, 10
21327, 0, -42
22300, 23000, 0
23420, 27400, 0
23200, 0, 5
27471, 0, -29
27538, 0, 1
27540, 1000000, 0
